action,priority,business_id,kept_id,candidate_id,name,flags,reason,suggested_resolution
"review_listing_quality","normal","crosscountry-mortgage-the-araiza-team-scottsdale-85260-3882d9d","","","CrossCountry Mortgage- The Araiza Team","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","crossroads-courier-phoenix-85034-55422e4","","","Crossroads Courier","no website or booking URL | auto-merged duplicate: phone:4809271818","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","daida-intelligence-solutions-phoenix-85016-adc1d25","","","Daida Intelligence Solutions","no website or booking URL | auto-merged duplicate: phone:9514211075","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","daystar-design-lab-phoenix-85004-ed47116","","","Daystar Design Lab","no website or booking URL | auto-merged duplicate: phone:6024900847","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","dental-depot-orthodontics-phoenix-85053-c0fa26f","","","Dental Depot Orthodontics","no website or booking URL | auto-merged duplicate: phone:6028458653","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","desert-fleet-outfitters-llc-phoenix-85040-c1e8ff4","","","Desert Fleet Outfitters, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","desert-vista-eye-specialists-phoenix-phoenix-85016-c78386e","","","Desert Vista Eye Specialists-Phoenix","no website or booking URL | auto-merged duplicate: phone:6028403501","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","desert-vista-eye-specialists-scottsdale-scottsdale-85260-fe3acb6","","","Desert Vista Eye Specialists-Scottsdale","no website or booking URL | auto-merged duplicate: phone:4804830711","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","devoted-guardians-home-care-and-homehealth-tempe-85284-5df8f8b","","","Devoted Guardians Home Care & Homehealth","no website or booking URL | auto-merged duplicate: phone:4809993012","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","dexter-distributing-phoenix-85034-f641478","","","Dexter Distributing","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","discover-strength-arcadia-phoenix-85018-b6cfd96","","","Discover Strength Arcadia","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","dm-cantor-phoenix-85004-e31cc65","","","DM Cantor","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","dog-haus-biergarten-downtown-phoenix-phoenix-85004-7d8b77d","","","Dog Haus Biergarten Downtown Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","dorn-policy-group-inc-phoenix-85003-0f8ccf7","","","Dorn Policy Group, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","dr-win-realty-llc-phoenix-85016-4b54d34","","","Dr. Win Realty LLC.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","driftwoods-sports-grill-phoenix-85020-66a7c68","","","Driftwoods Sports Grill","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","drinique-phoenix-restaurant-food-service-419ae8c","","","Drinique","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","drive-it-pro-phoenix-85009-894cc09","","","Drive It Pro","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","elite-rooter-phoenix-85004-60f1173","","","Elite Rooter","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","elite-windows-and-doors-scottsdale-85260-0612469","","","Elite Windows and Doors","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","employee-benefits-international-phoenix-85020-6a42dce","","","Employee Benefits International","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","envy-hospice-phoenix-85020-ae8987c","","","Envy Hospice","no website or booking URL | auto-merged duplicate: phone:4803354040","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","eos-worldwide-rick-benton-scottsdale-85254-4127e72","","","EOS Worldwide - Rick Benton","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","fabulous-food-phoenix-85034-511b7c7","","","Fabulous Food","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","fennemore-phoenix-85016-eb81f5b","","","Fennemore","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","firestone-complete-auto-care-phoenix-85027-99b80e9","","","Firestone Complete Auto Care","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","floor-daddy-tempe-85282-762f691","","","Floor Daddy","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","flow-management-devices-phoenix-85040-76c9129","","","Flow Management Devices","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","form180-phoenix-85016-a439eb0","","","FORM180","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","forte-physical-therapy-phoenix-85008-398ac6c","","","Forte Physical Therapy","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","foster-fuels-inc-phoenix-85043-79a2146","","","Foster Fuels Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gatsby-glass-of-scottsdale-scottsdale-85260-49e9868","","","Gatsby Glass of Scottsdale","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","general-dentistry-4-kids-phoenix-85032-237e895","","","General Dentistry 4 Kids","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gensler-phoenix-85016-e8728bf","","","Gensler","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gh2-architects-scottsdale-85257-eeff160","","","GH2 Architects","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gilmore-dental-care-phoenix-85085-61d8b1a","","","Gilmore Dental Care","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","good-golly-garage-doors-phoenix-85050-df5a0e8","","","Good Golly Garage Doors","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","goodman-schwartz-public-affairs-phoenix-85012-c418d9a","","","Goodman Schwartz Public Affairs","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gordon-biersch-glendale-glendale-85305-7e894e7","","","Gordon Biersch - Glendale","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gordon-biersch-scottsdale-phoenix-85054-eb20f45","","","Gordon Biersch - Scottsdale","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gracie-jiu-jitsu-phoenix-phoenix-85024-7326054","","","Gracie Jiu-Jitsu Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","grand-canyon-law-group-phoenix-85012-bc5c5c1","","","Grand Canyon Law Group","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","greater-phoenix-gay-and-lesbian-chamber-of-commerce-phoenix-85001-262e899","","","Greater Phoenix Gay & Lesbian Chamber of Commerce","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","greenberg-traurig-llp-phoenix-85016-5f86b1d","","","Greenberg Traurig, LLP","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","groundworks-phoenix-85027-2d09f5d","","","Groundworks","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","guiding-road-recovery-center-phoenix-85020-6596097","","","Guiding Road Recovery Center","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","gus-brothers-construction-scottsdale-85252-8a35331","","","Gus Brothers Construction","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","hand-and-stone-massage-and-facial-spa-phoenix-avondale-phoenix-85037-7b32759","","","Hand & Stone Massage and Facial Spa Phoenix-Avondale","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","hartstone-logistics-llc-scottsdale-85251-e959f1e","","","HartStone Logistics LLC.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","haven-behavioral-hospital-of-phoenix-phoenix-85007-3b991f4","","","Haven Behavioral Hospital of Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","helpany-phoenix-85014-19a3ffa","","","Helpany","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","hi-fi-dental-phoenix-85014-530f382","","","Hi-Fi Dental","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","highground-inc-phoenix-85003-25e155f","","","Highground, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","hirsch-talcott-llc-phoenix-85014-9bea4cf","","","Hirsch Talcott LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","honorhealth-utopia-phoenix-85027-424735f","","","HonorHealth - Utopia","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","honorhealth-john-c-lincoln-medical-center-phoenix-85020-119ed95","","","HonorHealth John C. Lincoln Medical Center","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","horizon-safety-training-llc-tempe-85283-46a33a7","","","Horizon Safety Training, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","house-of-miracles-phoenix-85004-617bf08","","","House of Miracles","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","hrr-team-real-estate-phoenix-85023-6cf0f64","","","HRR Team Real Estate","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","idm-companies-scottsdale-85253-2ccb425","","","IDM Companies","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","indy-by-industrious-phoenix-85004-c24b4e1","","","Indy by Industrious","no website or booking URL | auto-merged duplicate: phone:4805306227","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","inner-balance-yoga-phoenix-85006-39262d9","","","Inner Balance Yoga","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","instant-care-phoenix-85016-e97bcdc","","","Instant Care","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","integrated-axis-technology-group-inc-scottsdale-85260-3a2c047","","","Integrated Axis Technology Group, Inc","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","isaacson-law-firm-p-c-phoenix-85012-64dddca","","","Isaacson Law Firm, P.C.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","james-patrick-photography-phoenix-85040-41949b3","","","James Patrick Photography","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","kandid-clicks-photography-phoenix-85016-142a6ba","","","Kandid Clicks Photography","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","kary-environmental-services-mesa-85210-f67bfa0","","","Kary Environmental Services","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","kitchell-corp-phoenix-85016-1ebb247","","","Kitchell Corp.","no website or booking URL | auto-merged duplicate: phone:6022644411","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","kp-staffing-peoria-85382-433f2cf","","","KP Staffing","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","kutak-rock-llp-scottsdale-85253-00c0044","","","Kutak Rock LLP","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","lamar-advertising-company-phoenix-85020-055cd5b","","","Lamar Advertising Company","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","lamber-goodnow-phoenix-85016-8f1cc83","","","Lamber Goodnow","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","laurel-tree-at-northern-phoenix-85021-f8b196e","","","Laurel Tree at Northern","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","law-bear-auto-accident-attorneys-phoenix-85016-111162c","","","Law Bear Auto Accident Attorneys","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","ldh-consulting-scottsdale-business-professional-services-f5a918c","","","LDH Consulting","no website or booking URL | auto-merged duplicate: phone:4802056195","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","lemonds-aveda-salon-spa-litchfield-park-85340-4966a5f","","","LeMonds Aveda Salon - Spa","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","let-s-get-moving-phoenix-phoenix-85034-0c4621e","","","Let's Get Moving Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","litchfield-s-at-wigwam-arizona-litchfield-park-85340-7582d79","","","Litchfield's at Wigwam Arizona","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","living-rhythms-healing-arts-phoenix-85028-e3c05f8","","","Living Rhythms Healing Arts","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","localiq-az-republic-phoenix-85004-496a892","","","LocaliQ/AZ Republic","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","lockology-at-35th-avenue-phoenix-85029-139e91f","","","Lockology at 35th Avenue","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","looking-forward-consulting-goodyear-85395-a814b0d","","","Looking Forward Consulting","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","lucid-private-offices-phoenix-85016-277ce05","","","Lucid Private Offices","no website or booking URL | auto-merged duplicate: phone:6028479835","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","lucid-private-offices-scottsdale-old-town-scottsdale-85251-5309fdb","","","Lucid Private Offices-Scottsdale/Old Town","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","lunar-pest-control-chandler-85224-60909db","","","Lunar Pest Control","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","manheim-phoenix-tolleson-85353-891f002","","","Manheim Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","maricopa-county-medical-society-phoenix-85004-c9ae9c0","","","Maricopa County Medical Society","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","maricopa-county-workforce-development-board-phoenix-85003-445a288","","","Maricopa County Workforce Development Board","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","mark-taylor-residential-scottsdale-85251-401ed3e","","","Mark-Taylor Residential","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","mbi-industrial-medicine-phoenix-85019-d253c0d","","","MBI Industrial Medicine","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","mbps-phoenix-85004-534c364","","","MBPS","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","mccarthy-building-companies-inc-phoenix-85016-50b3c97","","","McCarthy Building Companies, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","mccd-small-business-development-center-phoenix-85034-223045a","","","MCCD Small Business Development Center","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","mcrae-specialty-services-phoenix-85028-54cf4fe","","","McRae Specialty Services","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","medaire-an-international-sos-company-phoenix-85016-1af3d02","","","MedAire, an International SOS Company","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","merger-global-group-llc-phoenix-85016-9e5f2f6","","","Merger Global Group LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","metromerch-phx-phoenix-85051-fc83f78","","","MetroMerch Phx","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","milano-nail-spa-madison-village-llc-phoenix-85020-e20bbbe","","","Milano Nail Spa Madison Village LLC.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","milligan-lawless-p-c-phoenix-85018-94ab8a4","","","Milligan Lawless P.C.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","molera-alvarez-llc-phoenix-85016-03fcfc9","","","Molera Alvarez, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","moon-valley-nursery-scottsdale-85260-59a9ca0","","","Moon Valley Nursery","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","mtc-phoenix-85016-bccd8db","","","MTC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","national-technical-institute-phoenix-85040-154cddf","","","National Technical Institute","no website or booking URL | auto-merged duplicate: phone:4805914000","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","network-thinking-solutions-phoenix-85016-6d2ff87","","","Network Thinking Solutions","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","new-frontier-immigration-law-glendale-85301-6f82118","","","New Frontier Immigration Law","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","nothing-bundt-cakes-phoenix-85042-1386855","","","Nothing Bundt Cakes","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","nuvodia-chandler-85226-207c985","","","Nuvodia","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","oasis-senior-advisors-buckeye-85396-2ee1b8d","","","Oasis Senior Advisors","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","one-community-media-llc-phoenix-85013-f3b28e8","","","One Community Media, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","one-stop-auto-body-and-paint-phoenix-85027-2a50d90","","","One Stop Auto Body & Paint","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","pacific-office-automation-phoenix-85008-01313eb","","","Pacific Office Automation","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","paragon-pro-rentals-buckeye-85326-2c34959","","","Paragon Pro Rentals","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","payroad-inc-phoenix-85016-55c024d","","","PayRoad Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","penske-used-truck-center-phoenix-85004-923c61f","","","Penske Used Truck Center","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","peters-cannata-and-moody-plc-phoenix-85012-5fb0e71","","","Peters, Cannata & Moody, PLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","phoenix-az-ad-agency-phoenix-85012-4fa4c7d","","","Phoenix AZ Ad Agency","no website or booking URL | auto-merged duplicate: phone:6026418210","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","phoenix-pawn-and-gold-phoenix-85009-cc4d93c","","","Phoenix Pawn and Gold","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","phoenix-realtors-phoenix-85020-6aeca57","","","Phoenix REALTORS","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","pinnacle-business-solutions-scottsdale-85255-9cc79f2","","","Pinnacle Business Solutions","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","pinnacle-public-affairs-phoenix-85018-d525d0e","","","Pinnacle Public Affairs","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","pipeline-media-agency-phoenix-85016-90be219","","","Pipeline Media Agency","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","platz-juris-pllc-phoenix-85016-4e77b1f","","","PLATZ JURIS, PLLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","policy-az-llc-phoenix-85020-315362e","","","Policy AZ, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","policy-development-group-inc-phoenix-85012-042d5db","","","Policy Development Group, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","premier-expeditors-inc-mesa-85206-4ad138c","","","Premier Expeditors Inc","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","price-4-limo-phoenix-phoenix-85003-3903bb5","","","Price 4 Limo Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","public-policy-partners-phoenix-85003-fbc0311","","","Public Policy Partners","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","qdi-quarries-direct-international-llc-phoenix-85009-95f1d7c","","","QDI - Quarries Direct International, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","quantum-qarat-phoenix-85016-634059c","","","Quantum Qarat","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","s-c-communications-phoenix-85018-66d126d","","","S+C Communications","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","s2rc-phoenix-85028-5cbbb77","","","S2RC","no website or booking URL | auto-merged duplicate: phone:6027088450","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","sa-recycling-phoenix-85009-57ce81c","","","SA Recycling","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","schmitt-jewelers-phoenix-85018-6eccca7","","","Schmitt Jewelers","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","scott-s-automotive-phoenix-85014-5c5fdee","","","Scott's Automotive","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","scott-s-automotive-of-north-peoria-peoria-85016-dec95df","","","Scott's Automotive of North Peoria","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","servpro-of-phoenix-phoenix-85034-e69aa6c","","","Servpro of Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","shin-etsu-microsi-phoenix-85044-760a25a","","","Shin-Etsu MicroSi","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","strategic-impact-partners-phoenix-85007-d6716c2","","","Strategic Impact Partners","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","supreme-comfort-phoenix-85034-b8e4c1b","","","Supreme Comfort","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","the-dauz-phoenix-85007-35d5566","","","The Dauz","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","the-green-room-landscape-architecture-phoenix-85012-b232df5","","","The Green Room Landscape Architecture","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","the-mcrae-agency-paradise-valley-85253-94595ba","","","The McRae Agency","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","the-old-spaghetti-factory-phoenix-85004-90dbe20","","","The Old Spaghetti Factory","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","the-village-health-clubs-and-spas-camelback-phoenix-85018-38c7b54","","","The Village Health Clubs & Spas - Camelback","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","triadvocates-llc-phoenix-85004-25c34da","","","Triadvocates LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","triyoung-inc-peoria-85381-ab239de","","","TriYoung, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","trublue-home-service-ally-of-phoenix-phoenix-85070-5cedd08","","","TruBlue Home Service Ally of Phoenix","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","trudoor-doors-and-hardware-phoenix-85043-7c462c9","","","Trudoor - Doors & Hardware","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","val-u-chem-phoenix-85034-9b198f9","","","Val-U-Chem","no website or booking URL | auto-merged duplicate: phone:6029572808","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","veridus-phoenix-85004-f41f053","","","Veridus","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","video-west-inc-phoenix-85008-f877579","","","Video West, Inc.","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","west-valley-pawn-and-gold-avondale-85323-968d882","","","West Valley Pawn and Gold","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","window-world-of-phoenix-llc-phoenix-85009-82990a7","","","Window World of Phoenix, LLC","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","wss-phoenix-85013-2cef642","","","WSS","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","normal","zest-plumbing-and-drain-scottsdale-85260-b72858f","","","Zest Plumbing & Drain","no website or booking URL","","request owner cleanup, enrich listing, or suppress if abusive"
"review_listing_quality","high","national-kidney-foundation-of-arizona-phoenix-healthcare-wellness-9421e49","","","National Kidney Foundation of Arizona","missing contact path | no website or booking URL | no physical address or coordinates","","request owner cleanup, enrich listing, or suppress if abusive"
